SheetName,SheetDescription,FieldName,FieldDescription
UseavailSouth,Use-availability summaries for species in northern Alberta,UrbInd,Urban/Industrial human footprint
UseavailSouth,Use-availability summaries for species in northern Alberta,SoftLin,"Soft linear human footprint features (seismic lines, pipelines, power lines, road verges)"
UseavailSouth,Use-availability summaries for species in northern Alberta,HardLin,Hard linear human footprint features (road and rails)
VeghfNorth,Habitat coefficients for species in northern Alberta,SpeciesID,Unique ID for species
VeghfNorth,Habitat coefficients for species in northern Alberta,ScientificName,Scientific name of species
VeghfNorth,Habitat coefficients for species in northern Alberta,CommonName,Common name
VeghfNorth,Habitat coefficients for species in northern Alberta,TSNID,Taxonomic serial number
VeghfNorth,Habitat coefficients for species in northern Alberta,Group,Taxonomic group
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 0-9,"White Spruce dominated forest, 0-10 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 10-19,"White Spruce dominated forest, 10-20 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 20-39,"White Spruce dominated forest, 20-40 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 40-59,"White Spruce dominated forest, 40-60 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 60-79,"White Spruce dominated forest, 60-80 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 80-99,"White Spruce dominated forest, 80-100 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 100-119,"White Spruce dominated forest, 100-120 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 120-139,"White Spruce dominated forest, 120-140 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 140+,"White Spruce dominated forest, >140 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 0-9,"Pine dominated forest, 0-10 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 10-19,"Pine dominated forest, 10-20 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 20-39,"Pine dominated forest, 20-40 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 40-59,"Pine dominated forest, 40-60 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 60-79,"Pine dominated forest, 60-80 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 80-99,"Pine dominated forest, 80-100 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 100-119,"Pine dominated forest, 100-120 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 120-139,"Pine dominated forest, 120-140 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 140+,"Pine dominated forest, >140 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 0-9,"Deciduous dominated forest, 0-10 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 10-19,"Deciduous dominated forest, 10-20 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 20-39,"Deciduous dominated forest, 20-40 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 40-59,"Deciduous dominated forest, 40-60 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 60-79,"Deciduous dominated forest, 60-80 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 80-99,"Deciduous dominated forest, 80-100 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 100-119,"Deciduous dominated forest, 100-120 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 120-139,"Deciduous dominated forest, 120-140 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 140+,"Deciduous dominated forest, >140 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 0-9,"Mixedwood dominated forest, 0-10 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 10-19,"Mixedwood dominated forest, 10-20 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 20-39,"Mixedwood dominated forest, 20-40 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 40-59,"Mixedwood dominated forest, 40-60 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 60-79,"Mixedwood dominated forest, 60-80 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 80-99,"Mixedwood dominated forest, 80-100 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 100-119,"Mixedwood dominated forest, 100-120 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 120-139,"Mixedwood dominated forest, 120-140 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 140+,"Mixedwood dominated forest, >140 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 0-9,"Black Spruce dominated forest, 0-10 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 10-19,"Black Spruce dominated forest, 10-20 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 20-39,"Black Spruce dominated forest, 20-40 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 40-59,"Black Spruce dominated forest, 40-60 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 60-79,"Black Spruce dominated forest, 60-80 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 80-99,"Black Spruce dominated forest, 80-100 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 100-119,"Black Spruce dominated forest, 100-120 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 120-139,"Black Spruce dominated forest, 120-140 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 140+,"Black Spruce dominated forest, >140 yrs post natural disturbance"
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed fen,Treed fen (usually Larch dominated)
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed swamp,Treed swamp
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrubby swamp,Shrubby swamp
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrubby bog,Shrubby bog
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrubby fen,Shrubby fen
VeghfNorth,Habitat coefficients for species in northern Alberta,Graminoid fen,Graminoid fen
VeghfNorth,Habitat coefficients for species in northern Alberta,Marsh,Marsh
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrub,Shubby habitat in uplands
VeghfNorth,Habitat coefficients for species in northern Alberta,Grass/herb,"Grass, herb in uplands"
VeghfNorth,Habitat coefficients for species in northern Alberta,Cropland,Cropland
VeghfNorth,Habitat coefficients for species in northern Alberta,Tame pasture,Tame pasture
VeghfNorth,Habitat coefficients for species in northern Alberta,Rough pasture,Rough pasture
VeghfNorth,Habitat coefficients for species in northern Alberta,Well sites,Well sites
VeghfNorth,Habitat coefficients for species in northern Alberta,Rural residential,Rural residential
VeghfNorth,Habitat coefficients for species in northern Alberta,Urban/Industrial,Urban/Industrial
VeghfNorth,Habitat coefficients for species in northern Alberta,Industrial (rural),Industrial (rural)
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, White spruce 0-9","White Spruce dominated forest, 0-10 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, white spruce 10-19","White Spruce dominated forest, 10-20 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, white spruce 20-39","White Spruce dominated forest, 20-40 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, white spruce 40-59","White Spruce dominated forest, 40-60 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, white spruce 60-79","White Spruce dominated forest, 60-80 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 0-9","Pine dominated forest, 0-10 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 10-19","Pine dominated forest, 10-20 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 20-39","Pine dominated forest, 20-40 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 40-59","Pine dominated forest, 40-60 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 60-79","Pine dominated forest, 60-80 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 0-9","Deciduous dominated forest, 0-10 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 10-19","Deciduous dominated forest, 10-20 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 20-39","Deciduous dominated forest, 20-40 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 40-59","Deciduous dominated forest, 40-60 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 60-79","Deciduous dominated forest, 60-80 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 0-9","Mixedwood dominated forest, 0-10 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 10-19","Mixedwood dominated forest, 10-20 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 20-39","Mixedwood dominated forest, 20-40 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 40-59","Mixedwood dominated forest, 40-60 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 60-79","Mixedwood dominated forest, 60-80 yrs post forest harvest"
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 0-9.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 10-19.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 20-39.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 40-59.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 60-79.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 80-99.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 100-119.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 120-139.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 140+.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 0-9.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 10-19.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 20-39.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 40-59.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 60-79.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 80-99.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 100-119.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 120-139.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 140+.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 0-9.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 10-19.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 20-39.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 40-59.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 60-79.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 80-99.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 100-119.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 120-139.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 140+.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 0-9.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 10-19.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 20-39.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 40-59.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 60-79.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 80-99.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 100-119.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 120-139.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 140+.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 0-9.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 10-19.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 20-39.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 40-59.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 60-79.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 80-99.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 100-119.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 120-139.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 140+.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed fen.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed swamp.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrubby swamp.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrubby bog.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrubby fen.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Graminoid fen.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Marsh.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrub.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Grass/herb.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Cropland.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Tame pasture.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Rough pasture.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Well sites.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Rural residential.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Urban/Industrial.LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Industrial (rural).LCL,Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, White spruce 0-9.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, white spruce 10-19.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, white spruce 20-39.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, white spruce 40-59.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, white spruce 60-79.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 0-9.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 10-19.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 20-39.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 40-59.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 60-79.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 0-9.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 10-19.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 20-39.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 40-59.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 60-79.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 0-9.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 10-19.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 20-39.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 40-59.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 60-79.LCL",Lower confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 0-9.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 10-19.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 20-39.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 40-59.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 60-79.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 80-99.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 100-119.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 120-139.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 140+.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 0-9.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 10-19.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 20-39.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 40-59.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 60-79.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 80-99.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 100-119.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 120-139.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 140+.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 0-9.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 10-19.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 20-39.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 40-59.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 60-79.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 80-99.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 100-119.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 120-139.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 140+.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 0-9.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 10-19.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 20-39.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 40-59.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 60-79.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 80-99.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 100-119.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 120-139.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 140+.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 0-9.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 10-19.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 20-39.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 40-59.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 60-79.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 80-99.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 100-119.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 120-139.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 140+.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed fen.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed swamp.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrubby swamp.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrubby bog.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrubby fen.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Graminoid fen.UCL,Upper confidence limit
