"Species","Range","Alberta","Percentage","Weighting","sppid","AOU"
"Long-billed Curlew",44.86,2.33,5.2,0.005120479,"LongbilledCurlew","LBCU"
"MacGillivray's Warbler",74.03,1.64,2.2,0.002183987,"MacgillivrayWarbler","MGWA"
"Magnolia Warbler",104.47,13.16,12.6,0.01241876,"MagnoliaWarbler","MAWA"
"Marbled Godwit",32.68,6.94,21.2,0.020935887,"MarbledGodwit","MAGO"
"McCown's Longspur",18.4,2.23,12.1,0.011948159,"McCownsLongspur","MCLO"
"Mountain Bluebird",130.09,16.54,12.7,0.012534458,"MountainBluebird","MOBL"
"Mourning Dove",315.53,7.44,2.4,0.002324589,"MourningDove","MODO"
"Mourning Warbler",63.16,7.56,12,0.011800316,"MourningWarbler","MOWA"
"Nelson's Sparrow",38.47,12.64,32.9,0.03239208,"NelsonsSparrow","NESP"
"Northern Flicker",444.43,19.55,4.4,0.00433668,"NorthernFlicker","NOFL"
"Northern Waterthrush",176.52,15.78,8.9,0.008813066,"NorthernWaterthrush","NOWA"
"Olive-sided Flycatcher",164.64,10.97,6.7,0.006568788,"OlivesidedFlycatcher","OSFL"
"Orange-crowned Warbler",213.46,16.61,7.8,0.007671267,"OrangecrownedWarbler","OCWA"
"Ovenbird",159.35,14.74,9.3,0.009119255,"Ovenbird","OVEN"
"Palm Warbler",99.88,13.39,13.4,0.013216486,"PalmWarbler","PAWA"
"Philadelphia Vireo",67.95,12.24,18,0.017758485,"PhiladelphiaVireo","PHVI"
"Pileated Woodpecker",171.71,10.63,6.2,0.006103116,"PileatedWoodpecker","PIWO"
"Pine Grosbeak",132.46,1.81,1.4,0.001347125,"PineGrosbeak","PIGR"
"Pine Siskin",208.07,13.6,6.5,0.00644382,"PineSiskin","PISI"
"Purple Finch",137.43,14.96,10.9,0.010731588,"PurpleFinch","PUFI"
"Red Crossbill",146.46,14.82,10.1,0.009975694,"RedCrossbill","RECR"
"Red-breasted Nuthatch",195.29,14.91,7.6,0.007526821,"RedbreastedNuthatch","RBNU"
"Red-eyed Vireo",267.05,18.4,6.9,0.006792649,"RedeyedVireo","REVI"
"Red-winged Blackbird",420.44,19.65,4.7,0.004607576,"RedwingedBlackbird","RWBL"
"Rock Pigeon",301.14,6.94,2.3,0.002271982,"RockPigeon","ROPI"
"Rose-breasted Grosbeak",94.64,12.05,12.7,0.012552385,"RosebreastedGrosbeak","RBGR"
"Ruby-crowned Kinglet",253.08,15.92,6.3,0.006201535,"RubycrownedKinglet","RCKI"
"Ruffed Grouse",197.67,16.19,8.2,0.008074582,"RuffedGrouse","RUGR"
"Rusty Blackbird",219.66,16.46,7.5,0.00738742,"RustyBlackbird","RUBL"
"Savannah Sparrow",390.96,20.07,5.1,0.005060914,"SavannahSparrow","SAVS"
"Say's Phoebe",152.5,6.41,4.2,0.004143832,"SaysPhoebe","SAPH"
"Sharp-tailed Grouse",76.4,10.4,13.6,0.013420044,"SharptailedGrouse","STGR"
"Solitary Sandpiper",149.85,13.47,9,0.008861858,"SolitarySandpiper","SOSA"
"Song Sparrow",230.3,16.24,7.1,0.00695194,"SongSparrow","SOSP"
"Spotted Sandpiper",376.4,20.27,5.4,0.005309066,"SpottedSandpiper","SPSA"
"Sprague's Pipit",22.07,3.45,15.6,0.015410996,"SpraguesPipit","SPPI"
"Swainson's Thrush",222.38,16.15,7.3,0.007159633,"SwainsonsThrush","SWTH"
"Swamp Sparrow",171.91,15.75,9.2,0.009032196,"SwampSparrow","SWSP"
"Tennessee Warbler",145.36,15.93,11,0.010804006,"TennesseeWarbler","TEWA"
"Townsend's Solitaire",94.12,0.56,0.6,0.00058657,"TownsendsSolitaire","TOSO"
"Tree Swallow",306.29,16.58,5.4,0.005336612,"TreeSwallow","TRES"
"Upland Sandpiper",97.96,4.91,5,0.004941362,"UplandSandpiper","UPSA"
"Varied Thrush",83.99,2.52,3,0.002957923,"VariedThrush","VATH"
"Veery",103.57,7.7,7.4,0.007329438,"Veery","VEER"
"Vesper Sparrow",164.13,16.53,10.1,0.009928847,"VesperSparrow","VESP"
"Warbling Vireo",226.26,15.15,6.7,0.006601138,"WarblingVireo","WAVI"
"Western Kingbird",159,6.07,3.8,0.003763618,"WesternKingbird","WEKI"
"Western Meadowlark",188.01,8.2,4.4,0.004299786,"WesternMeadowlark","WEME"
"Western Tanager",113.17,14.1,12.5,0.012282924,"WesternTanager","WETA"
"Western Wood-Pewee",157.21,16.86,10.7,0.010572833,"WesternWoodPewee","WEWP"
"White-breasted Nuthatch",243.4,8.13,3.3,0.003292941,"WhitebreastedNuthatch","WBNU"
"White-crowned Sparrow",203.62,7.11,3.5,0.003442414,"WhitecrownedSparrow","WCSP"
"White-throated Sparrow",181.13,17.12,9.5,0.009318099,"WhitethroatedSparrow","WTSP"
"White-winged Crossbill",229.92,16.02,7,0.006869098,"WhitewingedCrossbill","WWCR"
"Willet",32.91,4.01,12.2,0.012012418,"Willet","WILL"
"Wilson's Phalarope",95.86,17.25,18,0.017740491,"WilsonsPhalarope","WIPH"
"Wilson's Snipe",274.54,17.64,6.4,0.006334421,"WilsonsSnipe","WISN"
"Wilson's Warbler",219.76,12.02,5.5,0.005392247,"WilsonsWarbler","WIWA"
"Winter Wren",96.7,8.33,8.6,0.00849244,"WinterWren","WIWR"
"Yellow Warbler",372.12,17.56,4.7,0.004652169,"YellowWarbler","YEWA"
"Yellow-bellied Flycatcher",108.4,9.98,9.2,0.009076433,"YellowbelliedFlycatcher","YBFL"
"Yellow-bellied Sapsucker",146.11,15.86,10.9,0.010701316,"YellowbelliedSapsucker","YBSA"
"Yellow-headed Blackbird",137.34,14.38,10.5,0.010322284,"YellowheadedBlackbird","YHBL"
"Yellow-rumped Warbler",194.38,11.03,5.7,0.005594199,"YellowrumpedWarbler","YRWA"
