Veg_Type,Moisture_Reg,preBackfill_Source,Combined,need_CWCS
Balsam fir MixWet,w,AVIE,TreedSwamp-Fir,
Balsam fir MixWet,w-derived,AVIE,TreedSwamp-Fir,
Balsam fir,d,ABMICutblock,Fir,
Balsam fir,d,AVIE,Fir,
Balsam fir,m,ABMICutblock,Fir,
Balsam fir,m,AVIE,Fir,
Balsam fir,mesic-derived,AVIE,Fir,
Balsam fir,mesic-derived,GVI,Fir,
Balsam fir,w,AVIE,TreedSwamp-Fir,
Balsam fir,w-derived,AVIE,TreedSwamp-Fir,
Balsam poplar leading - deciduous,5C,PLVI,Decid,
Balsam poplar leading - deciduous,5D,PLVI,Decid,
Balsam poplar leading - deciduous,6D,PLVI,Decid,
Balsam poplar leading - deciduous,7C,PLVI,TreedSwamp-Decid,
Balsam poplar leading - deciduous,7D,PLVI,TreedSwamp-Decid,
Balsam poplar leading - mixedwood,5C,PLVI,Mixedwood,
Balsam poplar leading - mixedwood,5D,PLVI,Mixedwood,
Balsam poplar leading - mixedwood,6D,PLVI,Mixedwood,
Balsam poplar leading - mixedwood,7D,PLVI,TreedSwamp-Mixedwood,
Balsam poplar MixCD,d,AVIE,Mixedwood,
Balsam poplar MixCD,m,ABMICutblock,Mixedwood,
Balsam poplar MixCD,m,AVIE,Mixedwood,
Balsam poplar MixCD,mesic-derived,GVI,Mixedwood,
Balsam poplar MixCD,w,AVIE,TreedSwamp-Mixedwood,
Balsam poplar MixCD,w-derived,AVIE,TreedSwamp-Mixedwood,
Balsam poplar MixD,d,ABMICutblock,Decid,
Balsam poplar MixD,d,AVIE,Decid,
Balsam poplar MixD,dry-derived,AVIE,Decid,
Balsam poplar MixD,dry-derived,GVI,Decid,
Balsam poplar MixD,m,ABMICutblock,Decid,
Balsam poplar MixD,m,AVIE,Decid,
Balsam poplar MixD,m,EINP,Decid,
Balsam poplar MixD,mesic-derived,AVIE,Decid,
Balsam poplar MixD,mesic-derived,GVI,Decid,
Balsam poplar MixD,w,AVIE,TreedSwamp-Decid,
Balsam poplar MixD,w,EINP,TreedSwamp-Decid,
Balsam poplar MixD,w-derived,AVIE,TreedSwamp-Decid,
Balsam poplar MixD,wet-derived,AVIE,TreedSwamp-Decid,
Balsam poplar MixD,wet-derived,GVI,TreedSwamp-Decid,
Balsam poplar MixDC,d,ABMICutblock,Mixedwood,
Balsam poplar MixDC,d,AVIE,Mixedwood,
Balsam poplar MixDC,dry-derived,AVIE,Mixedwood,
Balsam poplar MixDC,dry-derived,GVI,Mixedwood,
Balsam poplar MixDC,m,ABMICutblock,Mixedwood,
Balsam poplar MixDC,m,AVIE,Mixedwood,
Balsam poplar MixDC,mesic-derived,AVIE,Mixedwood,
Balsam poplar MixDC,mesic-derived,GVI,Mixedwood,
Balsam poplar MixDC,w,AVIE,TreedSwamp-Mixedwood,
Balsam poplar MixDC,w-derived,AVIE,TreedSwamp-Mixedwood,
Balsam poplar MixDC,wet-derived,AVIE,TreedSwamp-Mixedwood,
Balsam poplar MixWet,m,AVIE,TreedSwamp-Decid,
Balsam poplar MixWet,w,AVIE,TreedSwamp-Decid,
Balsam poplar,a,AVIE,TreedSwamp-Decid,
Balsam poplar,d,AVIE,Decid,
Balsam poplar,dry-derived,AVIE,Decid,
Balsam poplar,dry-derived,GVI,Decid,
Balsam poplar,m,ABMICutblock,Decid,
Balsam poplar,m,AVIE,Decid,
Balsam poplar,m,EINP,Decid,
Balsam poplar,mesic-derived,AVIE,Decid,
Balsam poplar,mesic-derived,GVI,Decid,
Balsam poplar,w,AVIE,TreedSwamp-Decid,
Balsam poplar,w,EINP,TreedSwamp-Decid,
Balsam poplar,w-derived,AVIE,TreedSwamp-Decid,
Balsam poplar,wet-derived,AVIE,TreedSwamp-Decid,
Balsam poplar,wet-derived,GVI,TreedSwamp-Decid,
Balsam popular,Mesic,MTNP,Decid,
Balsam popular,wet-derived,WBNP,TreedSwamp-Decid,
Bare,Xeric,MTNP,Bare,
Bare,Xeric-derived,MTNP,Bare,
Bareland,dry-derived,GVI,Bare,
Bareland,mesic-derived,GVI,Bare,
Bareland,wet-derived,GVI,Bare,
Birch spp,mesic-derived,GVI,Decid,
Black cottonwood,Hygric,MTNP,TreedSwamp-Decid,
Black cottonwood,Mesic,MTNP,Decid,
Black cottonwood,Sub-Hydric,MTNP,TreedSwamp-Decid,
Black Spruce leading - conifer,3B,PLVI,TreedBog-BSpr,
Black spruce leading - conifer,3B,PLVI,TreedBog-BSpr,
Black Spruce leading - conifer,5B,PLVI,TreedBog-BSpr,
Black spruce leading - conifer,5B,PLVI,TreedBog-BSpr,
Black Spruce leading - conifer,7B,PLVI,TreedBog-BSpr,
Black spruce leading - conifer,7B,PLVI,TreedBog-BSpr,
Black Spruce leading - conifer,7C,PLVI,TreedBog-BSpr,
Black spruce leading - conifer,7C,PLVI,TreedBog-BSpr,
Black Spruce leading - mixedwood,7B,PLVI,TreedBog-BSpr,
Black spruce leading - mixedwood,7B,PLVI,TreedBog-BSpr,
Black Spruce leading - mixedwood,7C,PLVI,TreedBog-BSpr,
Black spruce leading - mixedwood,7C,PLVI,TreedBog-BSpr,
Black spruce MixCD,d,AVIE,TreedBog-BSpr,
Black spruce MixCD,m,AVIE,TreedBog-BSpr,
Black spruce MixCD,w,AVIE,TreedBog-BSpr,
Black spruce MixCD,w,EINP,TreedBog-BSpr,
Black spruce MixCD,w-derived,AVIE,TreedBog-BSpr,
Black spruce MixDC,d,AVIE,TreedBog-BSpr,
Black spruce MixDC,dry-derived,AVIE,TreedBog-BSpr,
Black spruce MixDC,dry-derived,GVI,TreedBog-BSpr,
Black spruce MixDC,m,AVIE,TreedBog-BSpr,
Black spruce MixDC,mesic-derived,AVIE,TreedBog-BSpr,
Black spruce MixDC,mesic-derived,GVI,TreedBog-BSpr,
Black spruce MixDC,w,AVIE,TreedBog-BSpr,
Black spruce MixDC,w,EINP,TreedBog-BSpr,
Black spruce MixDC,w-derived,AVIE,TreedBog-BSpr,
Black spruce,d,AVIE,TreedBog-BSpr,
Black spruce,dry-derived,AVIE,TreedBog-BSpr,
Black spruce,dry-derived,GVI,TreedBog-BSpr,
Black spruce,m,AVIE,TreedBog-BSpr,
Black spruce,mesic-derived,AVIE,TreedBog-BSpr,
Black spruce,w,AVIE,TreedBog-BSpr,
Black spruce,w,EINP,TreedBog-BSpr,
Black spruce,w-derived,AVIE,TreedBog-BSpr,
Black Spruce,w-derived,AVIE,TreedBog-BSpr,
Black spruce,wet-derived,AVIE,TreedBog-BSpr,
Black Spruce,wet-derived,AVIE,TreedBog-BSpr,
Black spruce,wet-derived,CPVI,TreedBog-BSpr,
Black spruce,wet-derived,Phase1,TreedBog-BSpr,
Black spruce,wet-derived,PLVI,TreedBog-BSpr,
Black spruce,wet-derived,WBNP,TreedBog-BSpr,
Bog - Black spruce,wet-derived,WBNP,TreedBog-BSpr,
Bog Shrub,wet-derived,WBNP,ShrubbyBog,
Bog Tree,wet-derived,WBNP,TreedBog-BSpr,
Bog,wet-derived,AVIE,TreedBog-BSpr,
Bog,wet-derived,CPVI,TreedBog-BSpr,
Bog,wet-derived,Phase1,TreedBog-BSpr,
Bog,wet-derived,PLVI,TreedBog-BSpr,
Coniferous,dry-derived,AVIE,Spruce,
Coniferous,dry-derived,CPVI,Spruce,
Coniferous,dry-derived,Phase1,Spruce,
Coniferous,Mesic,ABMICutblock,Spruce,
Coniferous,mesic-derived,AVIE,Spruce,
Coniferous,mesic-derived,CPVI,Spruce,
Coniferous,mesic-derived,GVI,Spruce,
Coniferous,mesic-derived,Phase1,Spruce,
Coniferous,mesic-derived,PLVI,Spruce,
Coniferous,mesic-derived,WBNP,Spruce,
Coniferous,w-derived,AVIE,TreedSwamp-Conif,
Coniferous,wet-derived,AVIE,TreedSwamp-Conif,
Coniferous,wet-derived,CPVI,TreedSwamp-Conif,
Coniferous,wet-derived,Phase1,TreedSwamp-Conif,
Deciduous,,PLVI,Decid,
Deciduous,dry-derived,AVIE,Decid,
Deciduous,dry-derived,CPVI,Decid,
Deciduous,dry-derived,GVI,Decid,
Deciduous,dry-derived,Phase1,Decid,
Deciduous,dry-derived,PLVI,Decid,
Deciduous,mesic-derived,AVIE,Decid,
Deciduous,mesic-derived,CPVI,Decid,
Deciduous,mesic-derived,EINP,Decid,
Deciduous,mesic-derived,GVI,Decid,
Deciduous,mesic-derived,Phase1,Decid,
Deciduous,mesic-derived,PLVI,Decid,
Deciduous,mesic-derived,WBNP,Decid,
Deciduous,w-derived,AVIE,TreedSwamp-Decid,
Deciduous,wet-derived,AVIE,TreedSwamp-Decid,
Deciduous,wet-derived,CPVI,TreedSwamp-Decid,
Deciduous,wet-derived,Phase1,TreedSwamp-Decid,
Deciduous,wet-derived,PLVI,TreedSwamp-Decid,
Douglas fir MixC,d,ABMICutblock,Fir,
Douglas fir MixC,d,AVIE,Fir,
Douglas fir MixC,dry-derived,AVIE,Fir,
Douglas fir MixC,m,ABMICutblock,Fir,
Douglas fir MixC,m,AVIE,Fir,
Douglas fir MixC,w,AVIE,TreedSwamp-Fir,
Douglas fir MixC,wet-derived,AVIE,TreedSwamp-Fir,
Douglas fir MixCD,d,ABMICutblock,Mixedwood,
Douglas fir MixCD,d,AVIE,Mixedwood,
Douglas fir MixCD,dry-derived,GVI,Mixedwood,
Douglas fir MixCD,m,ABMICutblock,Mixedwood,
Douglas fir MixCD,m,AVIE,Mixedwood,
Douglas fir MixCD,w,AVIE,TreedSwamp-Mixedwood,
Douglas fir MixDC,m,AVIE,Mixedwood,
Douglas fir MixWet,m,AVIE,TreedSwamp-Fir,
Douglas fir,d,ABMICutblock,Fir,
Douglas fir,d,AVIE,Fir,
Douglas fir,dry-derived,AVIE,Fir,
Douglas fir,dry-derived,GVI,Fir,
Douglas fir,m,ABMICutblock,Fir,
Douglas fir,m,AVIE,Fir,
Douglas fir,Mesic,ABMICutblock,Fir,
Douglas fir,Mesic,MTNP,Fir,
Douglas fir,mesic-derived,AVIE,Fir,
Douglas fir,Sub-Mesic,ABMICutblock,Fir,
Douglas fir,Sub-Mesic,MTNP,Fir,
Douglas fir,wet-derived,AVIE,TreedSwamp-Fir,
Douglas fir,Xeric,MTNP,Fir,
Engelmann spruce MixC,d,ABMICutblock,Spruce,
Engelmann spruce MixC,d,AVIE,Spruce,
Engelmann spruce MixC,m,ABMICutblock,Spruce,
Engelmann spruce MixC,m,AVIE,Spruce,
Engelmann spruce MixC,w,AVIE,TreedSwamp-Spruce,
Engelmann spruce MixCD,d,AVIE,Mixedwood,
Engelmann spruce MixCD,m,ABMICutblock,Mixedwood,
Engelmann spruce MixCD,m,AVIE,Mixedwood,
Engelmann spruce MixCD,w,AVIE,TreedSwamp-Mixedwood,
Engelmann spruce MixCD,w-derived,AVIE,TreedSwamp-Mixedwood,
Engelmann spruce MixWet,m,AVIE,TreedSwamp-Spruce,
Engelmann spruce MixWet,w,AVIE,TreedSwamp-Spruce,
Engelmann spruce MixWet,w-derived,AVIE,TreedSwamp-Spruce,
Engelmann spruce,d,ABMICutblock,Spruce,
Engelmann spruce,d,AVIE,Spruce,
Engelmann spruce,Hygric,MTNP,TreedSwamp-Spruce,
Engelmann spruce,m,ABMICutblock,Spruce,
Engelmann spruce,m,AVIE,Spruce,
Engelmann spruce,Mesic,ABMICutblock,Spruce,
Engelmann spruce,Mesic,MTNP,Spruce,
Engelmann spruce,mesic-derived,Phase1,Spruce,
Engelmann spruce,Sub-Hydric,MTNP,TreedSwamp-Spruce,
Engelmann spruce,Sub-Mesic,ABMICutblock,Spruce,
Engelmann spruce,Sub-Mesic,MTNP,Spruce,
Engelmann spruce,w,AVIE,TreedSwamp-Spruce,
Engelmann spruce,w-derived,AVIE,TreedSwamp-Spruce,
Engelmann spruce,Xeric,ABMICutblock,Spruce,
Engelmann spruce,Xeric,MTNP,Spruce,
Fen Grass,wet-derived,WBNP,GraminoidFen,
Fen Shrub Poor,wet-derived,WBNP,ShrubbyFen,
Fen Shrub Rich,wet-derived,WBNP,ShrubbyFen,
Fen Tree Poor,wet-derived,WBNP,TreedFen-Larch,
Fen Tree Rich,wet-derived,WBNP,TreedFen-Larch,
Fen,wet-derived,AVIE,TreedFen-Larch,
Fen,wet-derived,CPVI,TreedFen-Larch,
Fen,wet-derived,EINP,TreedFen-Larch,
Fen,wet-derived,GVI,TreedFen-Larch,
Fen,wet-derived,Phase1,TreedFen-Larch,
Fen,wet-derived,PLVI,TreedFen-Larch,
Glacier,Mesic-derived,MTNP,SnowIce,
Grass/Herb,2B,PLVI,GrassHerb,
Grass/Herb,3B,PLVI,GrassHerb,
Grass/Herb,3C,PLVI,GrassHerb,
Grass/Herb,3D,PLVI,GrassHerb,
Grass/Herb,4C,PLVI,GrassHerb,
Grass/Herb,5C,PLVI,GrassHerb,
Grass/Herb,5D,PLVI,GrassHerb,
Grass/Herb,6E,PLVI,GrassHerb,
Grass/Herb,7C,PLVI,GraminoidWetland,x
Grass/Herb,7D,PLVI,GraminoidWetland,x
Grass/Herb,a,AVIE,GraminoidWetland,x
Grass/Herb,a,EINP,GraminoidWetland,x
Grass/Herb,d,AVIE,GrassHerb,
Grass/Herb,d,EINP,GrassHerb,
Grass/Herb,dry-derived,AVIE,GrassHerb,
Grass/Herb,dry-derived,CPVI,GrassHerb,
Grass/Herb,dry-derived,GVI,GrassHerb,
Grass/Herb,dry-derived,Phase1,GrassHerb,
Grass/Herb,dry-derived,PLVI,GrassHerb,
Grass/Herb,dry-derived,WBNP,GrassHerb,
Grass/Herb,m,AVIE,GrassHerb,
Grass/Herb,m,EINP,GrassHerb,
Grass/Herb,Mesic,MTNP,GrassHerb,
Grass/Herb,mesic-derived,AVIE,GrassHerb,
Grass/Herb,mesic-derived,CPVI,GrassHerb,
Grass/Herb,mesic-derived,EINP,GrassHerb,
Grass/Herb,mesic-derived,GVI,GrassHerb,
Grass/Herb,mesic-derived,Phase1,GrassHerb,
Grass/Herb,mesic-derived,PLVI,GrassHerb,
Grass/Herb,Sub-Mesic,MTNP,GrassHerb,
Grass/Herb,w,AVIE,GraminoidWetland,x
Grass/Herb,w,EINP,GraminoidWetland,x
Grass/Herb,w-derived,AVIE,GraminoidWetland,x
Grass/Herb,wet-derived,AVIE,GraminoidWetland,x
Grass/Herb,wet-derived,CPVI,GraminoidWetland,x
Grass/Herb,wet-derived,GVI,GraminoidWetland,x
Grass/Herb,wet-derived,Phase1,GraminoidWetland,x
Grass/Herb,Xeric,MTNP,GrassHerb,
GrassFen,9B,PLVI,GraminoidFen,
GrassFen,9C,PLVI,GraminoidFen,
GrassFen,9D,PLVI,GraminoidFen,
Herb,Hydric,MTNP,GraminoidWetland,x
Herb,Mesic,MTNP,GrassHerb,
Herb,Sub-Hydric,MTNP,GraminoidWetland,x
Herb,Sub-Mesic,MTNP,GrassHerb,
Herb,Xeric,MTNP,GrassHerb,
Ice/Snow,mesic-derived,AVIE,SnowIce,
Ice/Snow,wet-derived,AVIE,SnowIce,
Jack pine leading - conifer,3B,PLVI,Pine,
Jack pine leading - conifer,3C,PLVI,Pine,
Jack pine leading - conifer,5B,PLVI,Pine,
Jack pine leading - conifer,5C,PLVI,Pine,
Jack pine leading - conifer,7B,PLVI,Pine,
Jack pine leading - mixedwood,3B,PLVI,Mixedwood,
Jack pine leading - mixedwood,3C,PLVI,Mixedwood,
Jack pine leading - mixedwood,5B,PLVI,Mixedwood,
Jack pine leading - mixedwood,5C,PLVI,Mixedwood,
Jack pine leading - mixedwood,7B,PLVI,Mixedwood,
Jack pine MixC,d,AVIE,Pine,
Jack pine MixC,m,ABMICutblock,Pine,
Jack pine MixC,m,AVIE,Pine,
Jack pine MixC,w,AVIE,Pine,
Jack pine MixC,w-derived,AVIE,Pine,
Jack pine MixCD,d,ABMICutblock,Mixedwood,
Jack pine MixCD,d,AVIE,Mixedwood,
Jack pine MixCD,m,ABMICutblock,Mixedwood,
Jack pine MixCD,m,AVIE,Mixedwood,
Jack pine MixCD,w,AVIE,Mixedwood,
Jack pine MixCD,w-derived,AVIE,Mixedwood,
Jack pine MixDC,m,ABMICutblock,Mixedwood,
Jack pine MixDC,m,AVIE,Mixedwood,
Jack pine MixDC,w,AVIE,Mixedwood,
Jack pine MixWet,d,AVIE,Pine,
Jack pine MixWet,m,AVIE,Pine,
Jack pine MixWet,w,AVIE,Pine,
Jack pine MixWet,w-derived,AVIE,Pine,
Jack pine,d,ABMICutblock,Pine,
Jack pine,d,AVIE,Pine,
Jack pine,dry-derived,WBNP,Pine,
Jack pine,m,ABMICutblock,Pine,
Jack pine,m,AVIE,Pine,
Jack pine,w,AVIE,Pine,
Jack pine,w-derived,AVIE,Pine,
Lentic conifer,wet-derived,GVI,TreedSwamp-Conif,
Lentic deciduous,wet-derived,GVI,TreedSwamp-Decid,
Lentic Grass/Herb,mesic-derived,GVI,GraminoidWetland,x
Lentic Grass/Herb,mesic-derived,Phase1,GraminoidWetland,x
Lentic Grass/Herb,water-derived,PLVI,GraminoidWetland,x
Lentic Grass/Herb,wet-derived,AVIE,GraminoidWetland,x
Lentic Grass/Herb,wet-derived,CPVI,GraminoidWetland,x
Lentic Grass/Herb,wet-derived,GVI,GraminoidWetland,x
Lentic Grass/Herb,wet-derived,Phase1,GraminoidWetland,x
Lentic Grass/Herb,wet-derived,PLVI,GraminoidWetland,x
Lentic herb,mesic-derived,GVI,GraminoidWetland,x
Lentic herb,wet-derived,GVI,GraminoidWetland,x
Lentic mixedwood,wet-derived,GVI,TreedSwamp-Mixedwood,
Lentic Shrub,,PLVI,ShrubbyWetland,x
Lentic shrub,mesic-derived,GVI,ShrubbyWetland,x
Lentic Shrub,wet-derived,AVIE,ShrubbyWetland,x
Lentic Shrub,wet-derived,CPVI,ShrubbyWetland,x
Lentic shrub,wet-derived,GVI,ShrubbyWetland,x
Lentic Shrub,wet-derived,Phase1,ShrubbyWetland,x
Lentic Shrub,wet-derived,PLVI,ShrubbyWetland,x
Limber pine MixC,d,AVIE,Pine,
Limber pine MixC,dry-derived,GVI,Pine,
Limber pine MixC,m,AVIE,Pine,
Limber pine MixCD,d,AVIE,Mixedwood,
Limber pine MixCD,m,AVIE,Mixedwood,
Limber pine,d,AVIE,Pine,
Limber pine,m,AVIE,Pine,
Lodgepole pine leading - conifer,3C,PLVI,Pine,
Lodgepole pine leading - conifer,5B,PLVI,Pine,
Lodgepole pine leading - conifer,5C,PLVI,Pine,
Lodgepole pine leading - conifer,5D,PLVI,Pine,
Lodgepole pine leading - mixedwood,5C,PLVI,Mixedwood,
Lodgepole pine MixC,d,ABMICutblock,Pine,
Lodgepole pine MixC,d,AVIE,Pine,
Lodgepole pine MixC,dry-derived,GVI,Pine,
Lodgepole pine MixC,m,ABMICutblock,Pine,
Lodgepole pine MixC,m,AVIE,Pine,
Lodgepole pine MixC,mesic-derived,GVI,Pine,
Lodgepole pine MixC,w,AVIE,Pine,
Lodgepole pine MixC,w-derived,AVIE,Pine,
Lodgepole pine MixCD,d,ABMICutblock,Mixedwood,
Lodgepole pine MixCD,d,AVIE,Mixedwood,
Lodgepole pine MixCD,dry-derived,GVI,Mixedwood,
Lodgepole pine MixCD,m,ABMICutblock,Mixedwood,
Lodgepole pine MixCD,m,AVIE,Mixedwood,
Lodgepole pine MixCD,mesic-derived,GVI,Mixedwood,
Lodgepole pine MixCD,w,AVIE,Mixedwood,
Lodgepole pine MixCD,w-derived,AVIE,Mixedwood,
Lodgepole pine MixDC,m,ABMICutblock,Mixedwood,
Lodgepole pine MixDC,m,AVIE,Mixedwood,
Lodgepole pine MixDC,w,AVIE,Mixedwood,
Lodgepole pine MixWet,d,AVIE,Pine,
Lodgepole pine MixWet,m,AVIE,Pine,
Lodgepole pine MixWet,w,AVIE,Pine,
Lodgepole pine MixWet,w-derived,AVIE,Pine,
Lodgepole pine,d,ABMICutblock,Pine,
Lodgepole pine,d,AVIE,Pine,
Lodgepole pine,dry-derived,AVIE,Pine,
Lodgepole pine,dry-derived,CPVI,Pine,
Lodgepole pine,dry-derived,GVI,Pine,
Lodgepole pine,dry-derived,Phase1,Pine,
Lodgepole pine,Hydric,MTNP,Pine,
Lodgepole pine,Hygric,MTNP,Pine,
Lodgepole pine,m,ABMICutblock,Pine,
Lodgepole pine,m,AVIE,Pine,
Lodgepole pine,Mesic,ABMICutblock,Pine,
Lodgepole pine,Mesic,MTNP,Pine,
Lodgepole pine,mesic-derived,GVI,Pine,
Lodgepole pine,Sub-Mesic,ABMICutblock,Pine,
Lodgepole pine,Sub-Mesic,MTNP,Pine,
Lodgepole pine,w,AVIE,Pine,
Lodgepole pine,w-derived,AVIE,Pine,
Lodgepole pine,wet-derived,AVIE,Pine,
Lodgepole pine,Xeric,ABMICutblock,Pine,
Lodgepole pine,Xeric,MTNP,Pine,
Lotic conifer,mesic-derived,GVI,TreedSwamp-Conif,
Lotic conifer,wet-derived,GVI,TreedSwamp-Conif,
Lotic deciduous,mesic-derived,GVI,TreedSwamp-Decid,
Lotic deciduous,wet-derived,GVI,TreedSwamp-Decid,
Lotic Grass/Herb,wet-derived,AVIE,GraminoidWetland,x
Lotic Grass/Herb,wet-derived,CPVI,GraminoidWetland,x
Lotic Grass/Herb,wet-derived,GVI,GraminoidWetland,x
Lotic Grass/Herb,wet-derived,Phase1,GraminoidWetland,x
Lotic herb,dry-derived,GVI,GraminoidWetland,x
Lotic herb,mesic-derived,GVI,GraminoidWetland,x
Lotic herb,wet-derived,GVI,GraminoidWetland,x
Lotic shrub,dry-derived,GVI,ShrubbyWetland,x
Lotic shrub,mesic-derived,GVI,ShrubbyWetland,x
Lotic shrub,wet-derived,GVI,ShrubbyWetland,x
Manitoba maple,mesic-derived,GVI,Decid,
Marsh,9E,PLVI,Marsh,
Marsh,wet-derived,AVIE,Marsh,
Marsh,wet-derived,CPVI,Marsh,
Marsh,wet-derived,EINP,Marsh,
Marsh,wet-derived,GVI,Marsh,
Marsh,wet-derived,Phase1,Marsh,
Marsh,wet-derived,PLVI,Marsh,
Marsh,wet-derived,WBNP,Marsh,
Mixedwood,,PLVI,Marsh,
Mixedwood,dry-derived,AVIE,Mixedwood,
Mixedwood,dry-derived,CPVI,Mixedwood,
Mixedwood,dry-derived,GVI,Mixedwood,
Mixedwood,dry-derived,Phase1,Mixedwood,
Mixedwood,dry-derived,PLVI,Mixedwood,
Mixedwood,mesic-derived,AVIE,Mixedwood,
Mixedwood,mesic-derived,CPVI,Mixedwood,
Mixedwood,mesic-derived,EINP,Mixedwood,
Mixedwood,mesic-derived,GVI,Mixedwood,
Mixedwood,mesic-derived,Phase1,Mixedwood,
Mixedwood,mesic-derived,PLVI,Mixedwood,
Mixedwood,mesic-derived,WBNP,Mixedwood,
Mixedwood,w-derived,AVIE,TreedWetland-Mixedwood,
Mixedwood,wet-derived,AVIE,TreedWetland-Mixedwood,
Mixedwood,wet-derived,CPVI,TreedWetland-Mixedwood,
Mixedwood,wet-derived,GVI,TreedWetland-Mixedwood,
Mixedwood,wet-derived,Phase1,TreedWetland-Mixedwood,
Mixedwood,wet-derived,PLVI,TreedWetland-Mixedwood,
Mud,wet-derived,WBNP,Bare,
MuskegMarsh,dry-derived,AVIE,Muskeg,x
MuskegMarsh,dry-derived,Phase1,Muskeg,x
MuskegMarsh,mesic-derived,AVIE,Muskeg,x
MuskegMarsh,mesic-derived,CPVI,Muskeg,x
MuskegMarsh,mesic-derived,Phase1,Muskeg,x
MuskegMarsh,w-derived,AVIE,Muskeg,x
MuskegMarsh,wet-derived,AVIE,Muskeg,x
MuskegMarsh,wet-derived,CPVI,Muskeg,x
MuskegMarsh,wet-derived,Phase1,Muskeg,x
MuskegMarsh,wet-derived,PLVI,Muskeg,x
MuskegMarsh,wet-derived,WBNP,Muskeg,x
Narrow leaf cottonwood MixD,dry-derived,GVI,Decid,
Narrow leaf cottonwood MixD,mesic-derived,GVI,Decid,
Narrow leaf cottonwood MixD,wet-derived,GVI,TreedSwamp-Decid,
Narrow leaf cottonwood,dry-derived,GVI,Decid,
Narrow leaf cottonwood,mesic-derived,GVI,Decid,
Other Forest,dry-derived,GVI,Decid,
Other Forest,mesic-derived,GVI,Decid,
Other Forest,wet-derived,GVI,TreedSwamp-Forest,
Pine spp MixC,d,ABMICutblock,Pine,
Pine spp MixC,d,AVIE,Pine,
Pine spp MixC,m,ABMICutblock,Pine,
Pine spp MixC,m,AVIE,Pine,
Pine spp MixC,mesic-derived,AVIE,Pine,
Pine spp MixC,mesic-derived,GVI,Pine,
Pine spp MixC,w,AVIE,Pine,
Pine spp MixC,wet-derived,AVIE,Pine,
Pine spp MixCD,d,ABMICutblock,Mixedwood,
Pine spp MixCD,d,AVIE,Mixedwood,
Pine spp MixCD,dry-derived,GVI,Mixedwood,
Pine spp MixCD,m,ABMICutblock,Mixedwood,
Pine spp MixCD,m,AVIE,Mixedwood,
Pine spp MixCD,mesic-derived,GVI,Mixedwood,
Pine spp MixCD,w,AVIE,TreedSwamp-Mixedwood,
