SITE_ID,NFI_SITE,NEAREST_TOWN,PROVINCIAL_MUNICIPALS,PUBLIC_LATTITUDE,PUBLIC_LONGITUDE,ELEVATION,PANEL,CENTER_OF_9_PANELS,ECOZONE_,WHITE_GREEN_ZONE,FOREST_MANAGEMENT_AGREEMENTS,LANDUSE_FRAMEWORK,NATIONAL_PARKS,NATURAL_REGIONS,NATURAL_SUBREGIONS,PROVINCIAL_PROTECTED_AREAS,SUSTAINABLE_RESOURCE_DEVELOPME,WATERSHEDS,WPAC
"39","1087471","Fort Chipewyan","Wood Buffalo","59.395153","-110.222572","305.0185852","D",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"40","1094216","Habay","Mackenzie","59.992634","-119.732986","516.758606","A",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"41","1094221","Habay","Mackenzie","59.946846","-119.345093","578.1226807","A",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"42","1094226","Habay","Mackenzie","59.977444","-118.978882","600.2197266","C",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"43","1094231","Habay","Mackenzie","59.931599","-118.594048","560.3032837","C",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"44","1094236","Habay","Mackenzie","59.938522","-118.267204","701.2175293","C",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Boreal Subarctic",,"Upper Hay","Hay",
"45","1094241","Habay","Mackenzie","59.884632","-118.000008","636.3917847","D",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Boreal Subarctic",,"Upper Hay","Hay",
"46","1094246","Habay","Mackenzie","59.903374","-117.587471","687.5706787","D",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Boreal Subarctic",,"Upper Hay","Hay",
"47","1094251","Habay","Mackenzie","59.861057","-117.210022","325.558197","D",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"48","1094256","High Level","Mackenzie","59.817764","-116.900818","301.7023926","B",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"49","1094261","High Level","Mackenzie","59.812458","-116.551575","310.4566956","B",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Slave",
"50","1094266","High Level","Mackenzie","59.777142","-116.23571","354.8832092","B",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Slave",
"51","1094271","John D'Or Prairie","Mackenzie","59.785976","-115.8442","346.0033875","E",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Slave",
"52","1094276","John D'Or Prairie","Wood Buffalo NP","59.725948","-115.522881","405.3551025","E",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"53","1094281","Garden Creek","Wood Buffalo NP","59.695187","-115.15731","598.8173218","E",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Lower Boreal Highlands",,,"Slave",
"54","1094286","Garden Creek","Wood Buffalo NP","59.678719","-114.780563","488.6820068","A",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Lower Boreal Highlands",,,"Slave",
"55","1094291","Garden Creek","Wood Buffalo NP","59.67028","-114.419548","399.8790894","A",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"56","1094296","Garden Creek","Wood Buffalo NP","59.642456","-114.057098","327.1693115","A",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"57","1094301","Garden Creek","Wood Buffalo NP","59.618908","-113.735153","299.4411926","C",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"58","1094306","Garden Creek","Wood Buffalo NP","59.529308","-113.403107","300.7506104","C",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"59","1094311","Garden Creek","Wood Buffalo NP","59.503201","-113.102928","300.240387","C",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave",
"60","1094316","Garden Creek","Wood Buffalo NP","59.475338","-112.731911","299.1022034","D",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave","Mighty Peace Watershed Alliance"
"61","1094321","Fort Chipewyan","Wood Buffalo NP","59.441296","-112.396309","309.2127075","D","YES","Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave","Mighty Peace Watershed Alliance"
"62","1094326","Fort Chipewyan","Wood Buffalo NP","59.435986","-112.086403","243.0861054","D",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Central Mixedwood",,,"Slave","Mighty Peace Watershed Alliance"
"63","1094331","Fort Chipewyan","Wood Buffalo NP","59.416378","-111.659508","216.2872009","B",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Slave","Mighty Peace Watershed Alliance"
"64","1094336","Fort Chipewyan","Wood Buffalo","59.31958","-111.284081","224.3229065","B",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"65","1094341","Fort Chipewyan","Wood Buffalo","59.318275","-110.953598","255.7015076","B",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"66","1094346","Fort Chipewyan","Wood Buffalo","59.29142","-110.63604","302.464386","E",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"67","1094351","Fort Chipewyan","Wood Buffalo","59.227852","-110.360909","302.3135071","E",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"68","1101096","Habay","Mackenzie","59.813072","-119.770706","569.0911255","A",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"69","1101101","Habay","Mackenzie","59.810764","-119.458748","555.7332153","A","YES","Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"70","1101106","Habay","Mackenzie","59.78154","-119.125992","555.4130859","C",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"71","1101111","Habay","Mackenzie","59.789661","-118.666779","554.9805908","C","YES","Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"72","1101116","Habay","Mackenzie","59.734673","-118.415428","656.1126099","C",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Lower Boreal Highlands",,"Upper Hay","Hay",
"73","1101121","Habay","Mackenzie","59.718616","-117.958755","684.3928833","D",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Boreal Subarctic",,"Upper Hay","Hay",
"74","1101126","Habay","Mackenzie","59.672287","-117.63739","643.8599243","D","YES","Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Lower Boreal Highlands",,"Upper Hay","Hay",
"75","1101131","Habay","Mackenzie","59.665314","-117.295952","319.678894","D",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"76","1101136","High Level","Mackenzie","59.671089","-116.93779","311.1163025","B",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"77","1101141","High Level","Mackenzie","59.600746","-116.580849","353.6029053","B","YES","Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Slave",
"78","1101146","High Level","Mackenzie","59.603184","-116.238892","388.5551148","B",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Slave",
"79","1101151","John D'Or Prairie","Mackenzie","59.615616","-115.915886","473.7643127","E",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Slave",
"80","1101156","John D'Or Prairie","Mackenzie","59.549862","-115.596893","710.0089722","E","YES","Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Boreal Subarctic",,"Upper Hay","Slave",
"81","1101161","John D'Or Prairie","Wood Buffalo NP","59.507553","-115.147682","826.4680786","E",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Boreal Subarctic",,,"Slave",
"82","1101166","Garden Creek","Wood Buffalo NP","59.492878","-114.793625","800.8389282","A",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Boreal Subarctic",,,"Slave",
"83","1101171","Garden Creek","Mackenzie","59.460358","-114.442337","650.0704956","A","YES","Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Lower Boreal Highlands","Caribou Mountains Wildland","Upper Hay","Slave",
"84","1101176","Garden Creek","Mackenzie","59.458614","-114.166542","466.7080994","A",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood","Caribou Mountains Wildland","Upper Hay","Lower Peace","Mighty Peace Watershed Alliance"
"85","1101181","Garden Creek","Wood Buffalo NP","59.414177","-113.843071","307.9901123","C",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Lower Peace","Mighty Peace Watershed Alliance"
"86","1101186","Garden Creek","Wood Buffalo NP","59.401676","-113.42691","301.5859985","C","YES","Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Lower Peace","Mighty Peace Watershed Alliance"
"87","1101191","Garden Creek","Wood Buffalo NP","59.381336","-113.09964","306.3193054","C",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Northern Mixedwood",,,"Lower Peace","Mighty Peace Watershed Alliance"
"88","1101196","Garden Creek","Wood Buffalo NP","59.313015","-112.85733","280.1221924","D",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Central Mixedwood",,,"Lower Peace","Mighty Peace Watershed Alliance"
"89","1101201","Fort Chipewyan","Wood Buffalo NP","59.306034","-112.397568","261.7085877","D",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Central Mixedwood",,,"Lower Peace","Mighty Peace Watershed Alliance"
"90","1101206","Fort Chipewyan","Wood Buffalo NP","59.268108","-112.090126","256.2055969","D",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Central Mixedwood",,,"Lower Peace","Mighty Peace Watershed Alliance"
"91","1101211","Fort Chipewyan","Wood Buffalo NP","59.212379","-111.772346","239.0764008","B",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Central Mixedwood",,,"Slave","Mighty Peace Watershed Alliance"
"92","1101216","Fort Chipewyan","Wood Buffalo","59.18782","-111.372108","209.3153992","B","YES","Boreal PLain","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"93","1101221","Fort Chipewyan","Wood Buffalo","59.160793","-111.064606","258.9154053","B",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"94","1101226","Fort Chipewyan","Wood Buffalo","59.114807","-110.680214","274.7449951","E",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"95","1101231","Fort Chipewyan","Wood Buffalo","59.065983","-110.411041","208.5","E","YES","Boreal Shield","Green Area",,"Lower Athabasca",,"Boreal","Athabasca Plain",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"96","1101236","Fort Chipewyan","Wood Buffalo","59.053726","-110.027939","208.5","E",,"Boreal Shield","Green Area",,"Lower Athabasca",,"Boreal","Athabasca Plain",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"97","1107976","Habay","Mackenzie","59.663017","-119.780594","549.3015137","A",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"98","1107981","Habay","Mackenzie","59.598625","-119.478241","525.4359131","A",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"99","1107986","Habay","Mackenzie","59.593914","-119.108841","563.5474243","C",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"100","1107991","Habay","Mackenzie","59.563286","-118.761261","775.7991943","C",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Boreal Subarctic",,"Upper Hay","Hay",
"101","1107996","Habay","Mackenzie","59.582375","-118.410957","562.7548218","C",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"102","1108001","Habay","Mackenzie","59.549892","-118.022049","636.1981812","D",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Lower Boreal Highlands",,"Upper Hay","Hay",
"103","1108006","Habay","Mackenzie","59.549137","-117.706863","372.6577148","D",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"104","1108011","High Level","Mackenzie","59.483601","-117.280518","328.9707947","D",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"105","1108016","High Level","Mackenzie","59.450874","-117.006454","335.4013977","B",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"106","1108021","High Level","Mackenzie","59.476604","-116.68676","379.4750061","B",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Hay",
"107","1108026","High Level","Mackenzie","59.433254","-116.345566","465.3322144","B",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Northern Mixedwood",,"Upper Hay","Slave",
"108","1108031","John D'Or Prairie","Mackenzie","59.388031","-115.898651","760.3607178","E",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Boreal Subarctic","Caribou Mountains Wildland","Upper Hay","Slave",
"109","1108036","John D'Or Prairie","Mackenzie","59.371502","-115.677238","814.5147705","E",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Boreal Subarctic","Caribou Mountains Wildland","Upper Hay","Slave",
"110","1108041","John D'Or Prairie","Mackenzie","59.365456","-115.241112","914.4832153","E",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Boreal Subarctic","Caribou Mountains Wildland","Upper Hay","Slave",
"111","1108046","John D'Or Prairie","Mackenzie","59.304123","-114.945435","801.9412231","A",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Boreal Subarctic","Caribou Mountains Wildland","Upper Hay","Slave",
"112","1108051","Garden Creek","Mackenzie","59.279404","-114.582375","769.4708252","A",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Boreal Subarctic","Caribou Mountains Wildland","Upper Hay","Slave",
"113","1108056","Garden Creek","Mackenzie","59.245296","-114.18441","794.0200195","A",,"Taiga Plain","Green Area",,"Lower Peace",,"Boreal","Boreal Subarctic","Caribou Mountains Wildland","Upper Hay","Lower Peace","Mighty Peace Watershed Alliance"
"114","1108061","Garden Creek","Wood Buffalo NP","59.241486","-113.860207","326.6523132","C",,"Taiga Plain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Central Mixedwood",,,"Lower Peace","Mighty Peace Watershed Alliance"
"115","1108066","Garden Creek","Wood Buffalo NP","59.224457","-113.47393","266.7099915","C",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Central Mixedwood",,,"Lower Peace","Mighty Peace Watershed Alliance"
"116","1108071","Garden Creek","Wood Buffalo NP","59.183533","-113.233971","267.0423889","C",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Central Mixedwood",,,"Lower Peace","Mighty Peace Watershed Alliance"
"117","1108076","Garden Creek","Wood Buffalo NP","59.148365","-112.794853","248.8076019","D",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Central Mixedwood",,,"Lower Peace","Mighty Peace Watershed Alliance"
"118","1108081","Fort Chipewyan","Wood Buffalo NP","59.094315","-112.462219","247.6128998","D",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Central Mixedwood",,,"Lower Peace","Mighty Peace Watershed Alliance"
"119","1108086","Fort Chipewyan","Wood Buffalo NP","59.06419","-112.123734","236.5955963","D",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Central Mixedwood",,,"Lower Peace","Mighty Peace Watershed Alliance"
"120","1108091","Fort Chipewyan","Wood Buffalo NP","59.063084","-111.784248","228.5133057","B",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Central Mixedwood",,,"Lower Peace","Mighty Peace Watershed Alliance"
"121","1108096","Fort Chipewyan","Wood Buffalo NP","59.016956","-111.443527","213.3907013","B",,"Boreal PLain",,,"Lower Peace","Wood Buffalo National Park of Canada","Boreal","Peace-Athabasca Delta",,,"Slave","Mighty Peace Watershed Alliance"
"122","1108101","Fort Chipewyan","Wood Buffalo","58.93523","-111.107582","227.2962036","B",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Slave","Mighty Peace Watershed Alliance"
"123","1108106","Fort Chipewyan","Wood Buffalo","58.941849","-110.816315","208.5","E",,"Taiga Shield","Green Area",,"Lower Athabasca",,"Canadian Shield","Kazan Uplands",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"124","1108111","Fort Chipewyan","Wood Buffalo","58.892406","-110.409058","208.5","E",,"Boreal Shield","Green Area",,"Lower Athabasca",,"Boreal","Athabasca Plain",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
